/* Opcode (contrl [0]), SubFunc (contrl [5]), intin [0], Funcname */
/* -1,    2, v_get_driver_info (device_id, info_select, info_string)
/* -1,    3, v_set_app_buff (address, nparagraphs)
 19,    0,  0, vsm_height (vdi_handle, height)
 20,    0,  0, vsm_color (vdi_handle, index)
 21,    0,  0, vst_font (vdi_handle, font)
 22,    0,  0, vst_color (vdi_handle, index)
 23,    0,  0, vsf_interior (vdi_handle, style)
 24,    0,  0, vsf_style (vdi_handle, index)
 25,    0,  0, vsf_color (vdi_handle, index)
 26,    0,  0, vq_color (vdi_handle, index, set_flag, rgb)
 27,    0,  0, vq_cellarray (vdi_handle, xy, row_len, num_rows, el_used, rows_used, stat, colors)
 28,    0,  0, vrq_locator (vdi_handle, initx, inity, xout, yout, term)
 28,    0,  0, vsm_locator (vdi_handle, initx, inity, xout, yout, term)
 29,    0,  0, vrq_valuator (vdi_handle, val_in, val_out, term)
 29,    0,  0, vsm_valuator (vdi_handle, val_in, val_out, term, status)
 30,    0,  0, vrq_choice (vdi_handle, in_choice, out_choice)
 30,    0,  0, vsm_choice (vdi_handle, choice)
 31,    0,  0, vrq_string (vdi_handle, length, echo_mode, echo_xy, string)
 31,    0,  0, vsm_string (vdi_handle, length, echo_mode, echo_xy, string)
 32,    0,  0, vswr_mode (vdi_handle, mode)
 33,    0,  0, vsin_mode (vdi_handle, dev_type, mode)
 35,    0,  0, vql_attributes (vdi_handle, attributes)
 36,    0,  0, vqm_attributes (vdi_handle, attributes)
 37,    0,  0, vqf_attributes (vdi_handle, attributes)
 38,    0,  0, vqt_attributes (vdi_handle, attributes)
 39,    0,  0, vst_alignment (vdi_handle, hor_in, vert_in, hor_out, vert_out)
100,    0,  0, v_opnvwk (work_in, vdi_handle, work_out)
101,    0,  0, v_clsvwk (vdi_handle)
102,    0,  0, vq_extnd (vdi_handle, owflag, work_out)
103,    0,  0, v_contourfill (vdi_handle, x, y, index)
104,    0,  0, vsf_xperimeter (vdi_handle, per_vis, per_style)
104,    0,  0, vsf_perimeter (vdi_handle, per_vis)
105,    0,  0, v_get_pixel (vdi_handle, x, y, pel, index)
106,    0,  0, vst_effects (vdi_handle, effect)
107,    0,  0, vst_point (vdi_handle, point, char_width, char_height, cell_width, cell_height)
108,    0,  0, vsl_ends (vdi_handle, beg_style, end_style)
109,    0,  0, vro_cpyfm (vdi_handle, wr_mode, xy, srcMFDB, desMFDB)
110,    0,  0, vr_trnfm (vdi_handle, srcMFDB, desMFDB)
111,    0,  0, vsc_form (vdi_handle, cur_form)
112,    0,  0, vsf_udpat (vdi_handle, fill_pat, planes)
113,    0,  0, vsl_udsty (vdi_handle, pattern)
