OFFLINE T-Online	Sun Nov 30 19:19:36 1997
ONLINE T-Online	Sun Nov 30 19:26:12 1997
OFFLINE T-Online	Sun Nov 30 19:28:36 1997
ONLINE T-Online	Sun Nov 30 19:34:26 1997
OFFLINE T-Online	Sun Nov 30 19:41:10 1997
ONLINE T-Online	Sun Nov 30 19:41:48 1997
OFFLINE T-Online	Sun Nov 30 19:46:24 1997
ONLINE Vaihingen Test PPP	Sun Nov 30 19:48:56 1997
OFFLINE Vaihingen Test PPP	Sun Nov 30 19:57:50 1997
ONLINE T-Online	Sun Nov 30 19:58:58 1997
OFFLINE T-Online	Sun Nov 30 19:59:44 1997
ONLINE Vaihingen Test PPP	Sun Nov 30 20:03:54 1997
OFFLINE Vaihingen Test PPP	Sun Nov 30 20:08:56 1997
ONLINE Vaihingen Test PPP	Fri Dec 05 06:20:44 1997
OFFLINE Vaihingen Test PPP	Fri Dec 05 06:22:04 1997
ONLINE Vaihingen Test PPP	Fri Dec 05 06:36:44 1997
OFFLINE Vaihingen Test PPP	Fri Dec 05 06:37:56 1997
ONLINE Vaihingen Test PPP	Fri Dec 05 06:54:52 1997
OFFLINE Vaihingen Test PPP	Fri Dec 05 06:56:20 1997
ONLINE Vaihingen Test PPP	Fri Dec 05 07:12:50 1997
ONLINE Vaihingen Test PPP	Fri Dec 05 07:30:40 1997
OFFLINE Vaihingen Test PPP	Fri Dec 05 07:32:54 1997
ONLINE Vaihingen Test PPP	Fri Dec 05 07:49:40 1997
OFFLINE Vaihingen Test PPP	Fri Dec 05 07:56:14 1997
ONLINE Vaihingen Test PPP	Fri Dec 05 08:01:48 1997
OFFLINE Vaihingen Test PPP	Fri Dec 05 08:04:08 1997
ONLINE Vaihingen Test PPP	Fri Dec 05 08:10:34 1997
OFFLINE Vaihingen Test PPP	Fri Dec 05 08:16:20 1997
ONLINE Vaihingen Test PPP	Fri Dec 05 08:20:18 1997
OFFLINE Vaihingen Test PPP	Fri Dec 05 08:21:38 1997
ONLINE Vaihingen Test PPP	Fri Dec 05 08:28:50 1997
OFFLINE Vaihingen Test PPP	Fri Dec 05 08:42:20 1997
ONLINE Vaihingen Test PPP	Fri Dec 05 08:58:22 1997
ONLINE Vaihingen Test PPP	Fri Dec 05 09:07:28 1997
OFFLINE Vaihingen Test PPP	Fri Dec 05 09:08:20 1997
ONLINE Vaihingen Test PPP	Fri Dec 05 09:13:00 1997
OFFLINE Vaihingen Test PPP	Fri Dec 05 09:13:40 1997
