
*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*

ð Liste des 423 boots reconnus par La bibliothŠque v 4.23 
ð DerniŠres modifs: 12 Janvier 1999

*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*


---------------------------------------------------------------------------
ð Utilitaires [021] 
---------------------------------------------------------------------------

 087 - OVERYOSYNK BOOT                      Pips/Dnt Crew
 088 - OXYD VIRUS KILLER                    Oxyd
 089 - OXYGENE BOOTSECTOR                   Leonard
 090 - PRESERVATIF BOOT                     ???
 091 - PREVENTOR 2.0F                       ???
 092 - PROTECTION v 1.0                     ???
 093 - PULSION SUPRESSOR                    Pulsion
 094 - RAINBOWODY BOOT                      Pips/Dnt Crew 
 095 - RAGX ANTIVIRUS 2                     Ragx/Ultimate
 096 - RAST'OVERS BOOT                      Pips & Nullos/Dnt Crew
 097 - RASTERS & TEXT                       ???
 098 - RASTERSYNK BOOT                      Pips/Dnt Crew 
 099 - RGB SYNKRO BOOT                      Pips/Dnt Crew
 100 - SAFETY DISC                          Fraisine/
 101 - SAGROTAN 4.12/4.14/4.21              Henrik Alt
 102 - SAGROTAN 4.18                        Henrik Alt
 103 - SAGROTAN 4.32                        Henrik Alt 
 104 - SAGROTAN 4.36                        Henrik Alt
 105 - SANTORIN ANTIVIRUS                   Santorin
 106 - SENTRY PROTECTOR II                  Eagle
 107 - SHADE VIRUS FREE                     Shade
 108 - SIMPLE BEEP / FREE                   ???
 109 - SPEEDBOOT 2                          ???
 110 - ST FORMAT COVER DISC #12             St Format
 111 - STARFIELD BOOT                       ???
 112 - STARSLIGHT BOOT                      Pips/Dnt Crew 
 113 - STRANGLERS FULLSCREEN                Stranglers
 114 - STIX ANTIVIRUS 7                     Stix/Zuul
 115 - STIX ANTIVIRUS 9                     Stix/Zuul
 116 - SWAPPER BOYS ANTIV. 1.3              Swapper Boys
 117 - TFC RAM PROTECTOR 2                  Tramiel Fan Club
 118 - THE EXORCIST 1.0                     Iki & Tetsuo
 119 - THE EXORCIST II                      Iki & Tetsuo
 120 - THE KILLER 2.0                       E.C & Omikron France
 121 - THE KILLER 2.08                      E.C & Omikron France
 122 - THE SOFTWARE GUARDIAN                Kata
 123 - TITANIUM ANTIVIRUS                   Titanium
 124 - TMB_P IVd FACTORY                    Impact
 125 - TMB_P IVd IMPACT                     Impact
 126 - TOXIC MAG #9
 127 - TSB KILLER 2.5                       Iki
 128 - UVK 6.0                              R. Karsmakers
 129 - VACCIN GILLUS                        Gillus
 130 - VIEW 3000 PROTECTOR                  ???
 131 - VIRGIN BOOTSECTOR                    ???
 132 - VIRUS FREE SMILEY                    ???
